"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,136267845,26,300,,153048295
2020,136267845,63,200,,153048297
2020,136267883,20,134,,153048331
2020,136267922,10,,,153048368
2020,136267922,11,2,,153048370
2020,136264191,20,2106,,153046351
2020,136267972,36,200,03-JAN-20,153048430
2020,136250663,35,150,,153026166
2020,136264203,63,25,,153046373
2020,136264203,36,200,,153048433
2020,136264216,63,1200,,153046382
2020,136251728,19,90,,153032509
2020,136251710,19,90,07-OCT-20,153032480
2020,136248720,54,1,,153027679
2020,136268053,10,,,153046443
2020,136248720,64,1,,153027680
2020,136248778,63,255,,153027738
2020,136248778,8,65,,153032660
2020,136248855,20,25,,153032741
2020,136248880,9,0,,153027846
2020,136249066,3,1,,153028069
2020,136264395,10,,,153046591
2020,136268209,63,1,,153046588
2020,136268267,20,1,,153048786
2020,136252066,63,60,,153028050
2020,136249112,63,1,,153032990
2020,136249112,36,50,,153032989
2020,136252096,38,600,,153028153
2020,136252122,7,270,,153033059
2020,136252120,7,270,02-JUL-20,153028186
2020,136252149,20,2547,,153028217
2020,136252232,63,500,,153033189
2020,136252254,11,1,,153028399
2020,136252254,10,,,153028398
2020,136252320,3,150,,153028502
2020,136252320,30,650,,153033296
2020,136249532,19,52,11-AUG-20,153028644
2020,136252431,19,52,,153028657
2020,136249534,63,200,,153028641
2020,136252450,20,571,,153033435
2020,136249570,63,1,,153028692
2020,136252481,63,35,,153033476
2020,136252481,19,30,,153033475
2020,136252456,63,1,,153033441
2020,136252496,8,179,,153033497
2020,136252506,4,100,,153033513
2020,136252521,20,200,,153033527
2020,136252521,25,5000,,153033529
2020,136254677,38,200,,153028810
2020,136252544,10,,,153033552
2020,136254763,36,350,,153033578
2020,136254763,63,999,,153033579
2020,136252572,63,200,,153028905
2020,136254778,8,10,,153028933
2020,136252591,42,300,,153033615
2020,136254828,4,500,,153028991
2020,136252689,63,50,,153033712
2020,136252693,36,150,,153033713
2020,136252752,29,1750,,153033771
2020,136254981,20,8500,,153029173
2020,136254981,36,1,,153029175
2020,136255010,10,,,153029200
2020,136255060,63,1,,153029255
2020,136255063,63,500,,153029265
2020,136252821,63,500,15-AUG-20,153029257
